Mass,"X10LL[1,1]","X10LL[2,1]","X10LL[3,1]","X10RR[1,1]","X10RR[2,1]","X10RR[3,1]","X10LL[1,2]","X10LL[2,2]","X10LL[3,2]","X10RR[1,2]","X10RR[2,2]","X10RR[3,2]","X10LL[1,3]","X10LL[2,3]","X10LL[3,3]","X10RR[1,3]","X10RR[2,3]","X10RR[3,3]"
1000,0.6569992577,0.09445295395,0.06172794504,0.6047746395,0.1300782656,0.09628753232,0.6562448577,0.09479665395,0.06172794504,0.6047746395,0.1300782656,0.09628753232,0.6566614901,0.0945089936,0.06184980319,0.6035318074,0.1300713847,0.09614161607
1500,0.04504841052,0.005000998903,0.002748654554,0.04027274929,0.006208942606,0.00389058718,0.04509319052,0.005015856903,0.002748654554,0.04027274929,0.006208942606,0.00389058718,0.04521471349,0.005016361144,0.002756886927,0.04031144112,0.006214227751,0.003888561582
2000,0.004948275206,0.0004844199931,0.0002207215538,0.004421144185,0.0005502998858,0.0002794380305,0.004940412506,0.0004846246931,0.0002207215538,0.004421144185,0.0005502998858,0.0002794380305,0.004946525815,0.0004853415643,0.0002208283223,0.004415967577,0.00055169592,0.0002793013182
2500,0.0007215176136,6.61E-05,2.51E-05,0.0006605417554,7.06E-05,2.88E-05,0.0007216057236,6.62E-05,2.51E-05,0.0006605417554,7.06E-05,2.88E-05,0.0007207616208,6.62E-05,2.51E-05,0.0006598804314,7.06E-05,2.88E-05
3000,0.000127316869,1.12E-05,3.58E-06,0.0001194250191,1.16E-05,3.85E-06,0.00012707844,1.12E-05,3.58E-06,0.0001194250191,1.16E-05,3.85E-06,0.0001272209096,1.12E-05,3.58E-06,0.0001195530183,1.16E-05,3.85E-06
3500,3.58E-05,3.33E-06,9.83E-07,2.50E-05,2.25E-06,6.10E-07,3.58E-05,3.33E-06,9.83E-07,2.50E-05,2.25E-06,6.10E-07,3.57E-05,3.32E-06,9.86E-07,2.50E-05,2.25E-06,6.08E-07
4000,1.11E-05,1.00E-06,2.68E-07,5.87E-06,5.04E-07,1.13E-07,1.11E-05,1.00E-06,2.68E-07,5.87E-06,5.04E-07,1.13E-07,1.11E-05,1.00E-06,2.68E-07,5.86E-06,5.02E-07,1.13E-07
4500,3.70E-06,3.25E-07,7.92E-08,1.45E-06,1.21E-07,2.21E-08,3.70E-06,3.25E-07,7.92E-08,1.45E-06,1.21E-07,2.21E-08,3.70E-06,3.25E-07,7.93E-08,1.45E-06,1.21E-07,2.21E-08
5000,1.31E-06,1.12E-07,2.47E-08,3.69E-07,3.03E-08,4.52E-09,1.31E-06,1.12E-07,2.47E-08,3.69E-07,3.03E-08,4.52E-09,1.30E-06,1.12E-07,2.46E-08,3.69E-07,3.01E-08,4.53E-09
5500,4.81E-07,4.05E-08,8.01E-09,9.55E-08,7.77E-09,9.45E-10,4.81E-07,4.05E-08,8.01E-09,9.55E-08,7.77E-09,9.45E-10,4.80E-07,4.05E-08,8.03E-09,9.55E-08,7.76E-09,9.46E-10
6000,1.82E-07,1.51E-08,2.66E-09,2.50E-08,2.04E-09,1.98E-10,1.82E-07,1.51E-08,2.66E-09,2.50E-08,2.04E-09,1.98E-10,1.82E-07,1.51E-08,2.66E-09,2.49E-08,2.04E-09,1.98E-10
6500,7.04E-08,5.77E-09,8.99E-10,6.51E-09,5.35E-10,4.18E-11,7.04E-08,5.77E-09,8.99E-10,6.51E-09,5.35E-10,4.18E-11,7.02E-08,5.77E-09,9.00E-10,6.53E-09,5.35E-10,4.16E-11
7000,2.76E-08,2.24E-09,3.06E-10,1.69E-09,1.40E-10,8.71E-12,2.76E-08,2.24E-09,3.06E-10,1.69E-09,1.40E-10,8.71E-12,2.75E-08,2.24E-09,3.05E-10,1.69E-09,1.40E-10,8.73E-12
7500,1.08E-08,8.79E-10,1.04E-10,4.31E-10,3.62E-11,1.80E-12,1.08E-08,8.79E-10,1.04E-10,4.31E-10,3.62E-11,1.80E-12,1.08E-08,8.80E-10,1.05E-10,4.31E-10,3.63E-11,1.80E-12
8000,4.28E-09,3.48E-10,3.54E-11,1.08E-10,9.24E-12,3.65E-13,4.28E-09,3.48E-10,3.54E-11,1.08E-10,9.24E-12,3.65E-13,4.28E-09,3.47E-10,3.54E-11,1.08E-10,9.25E-12,3.64E-13